,crop_name,soil_type,crop_age_days,day_of_year,temperature_C,humidity_%,rainfall_mm,effective_rainfall_mm,solar_radiation_MJ_m2_day,wind_speed_m_s,field_capacity_%,wilting_point_%,soil_moisture_%,reference_evapotranspiration_ET0_mm_day,crop_coefficient_Kc,application_efficiency_%,root_zone_depth_m,available_water_content_mm_per_m,irrigation_interval_days,p_fraction,irrigate,irrigation_amount_m3
9000,Maize,Loamy,77,144,24.14,61.04,1.41,0.72,27.11,0.69,37.33,19.62,36.52,2.279,0.963,81.14,0.464,110.55,1,0.372,0,0.0
5438,Maize,Loamy,2,240,18.61,63.98,6.23,5.94,19.47,1.25,36.93,15.79,26.12,2.0,0.34,75.02,0.829,106.67,8,0.537,0,0.0
7533,Tomato,Loamy,118,112,17.98,69.3,5.42,4.58,17.94,2.12,38.47,18.77,29.72,2.172,0.63,79.28,0.578,131.63,3,0.363,1,244.3752
6369,Rice,Silty,60,63,24.34,40.98,3.08,2.95,29.06,1.79,31.63,16.69,18.78,2.114,1.155,64.23,0.52,143.14,9,0.419,1,484.1552
8416,Wheat,Sandy,37,313,31.42,53.14,2.71,1.29,9.46,0.77,28.89,11.46,23.3,2.0,0.946,78.9,0.423,124.78,8,0.509,0,0.0
1477,Wheat,Clayey,46,53,31.67,67.22,1.23,0.57,19.33,1.69,35.68,19.43,34.08,2.586,1.018,73.27,0.776,171.28,9,0.52,0,0.0
1790,Maize,Loamy,62,167,29.61,40.82,2.37,1.18,14.28,4.79,37.56,18.39,30.4,2.23,1.128,84.49,1.007,118.15,9,0.364,0,0.0
2008,Maize,Loamy,21,139,30.26,36.82,0.75,0.61,19.3,3.27,35.77,16.58,16.99,3.214,0.716,73.85,0.707,140.88,10,0.524,1,721.4742
682,Tomato,Sandy,104,264,27.56,70.78,1.03,0.78,20.39,4.23,26.31,11.02,20.23,2.922,0.63,60.38,0.377,117.09,8,0.301,1,137.7648
2816,Wheat,Loamy,51,15,26.38,82.96,0.69,0.67,17.78,1.56,31.03,15.45,28.45,2.107,1.039,72.53,1.058,151.33,2,0.587,1,19.5499
9431,Rice,Clayey,100,318,19.21,86.3,6.42,3.01,28.16,4.71,44.97,18.05,23.94,2.132,0.791,76.39,0.834,94.75,8,0.49,1,1061.2664
3774,Maize,Loamy,15,279,37.94,61.31,0.46,0.22,5.49,3.31,37.84,19.73,25.94,2.903,0.597,84.27,0.339,134.02,3,0.409,1,200.8703
6495,Maize,Sandy,77,199,27.05,90.48,2.66,2.08,5.83,0.59,28.47,13.75,18.84,2.0,0.963,68.5,1.085,178.2,4,0.391,0,0.0
8878,Maize,Silty,48,16,30.93,52.79,3.16,2.63,10.24,1.65,26.24,14.59,26.24,2.268,1.048,62.38,0.801,145.44,10,0.359,0,0.0
7361,Tomato,Loamy,49,21,35.71,32.2,0.71,0.36,18.15,2.36,33.62,15.94,26.73,2.253,1.005,84.55,0.52,155.11,10,0.503,0,0.0
8366,Maize,Loamy,21,169,15.91,39.67,1.7,0.72,23.2,1.73,31.24,17.04,22.21,2.0,0.716,61.2,0.31,145.86,9,0.492,1,189.2161
7474,Rice,Loamy,18,82,31.18,81.59,2.11,1.34,27.55,3.02,38.33,17.61,26.75,3.896,0.803,67.68,0.418,140.69,3,0.544,1,278.4307
46,Wheat,Clayey,119,66,27.23,71.41,7.38,3.99,19.94,4.44,42.1,23.75,24.1,2.431,0.45,79.55,0.862,165.06,8,0.405,1,739.618
30,Maize,Loamy,120,323,36.86,93.03,7.51,5.68,13.28,3.73,34.58,19.55,23.23,2.646,0.54,77.5,0.914,120.54,2,0.516,1,515.0073
8250,Maize,Loamy,51,300,27.67,37.23,4.38,4.03,26.02,3.89,30.32,19.62,25.91,2.933,1.073,78.79,1.054,157.04,5,0.596,0,0.0
6935,Maize,Sandy,88,191,26.68,54.83,12.48,11.73,9.82,1.37,23.13,8.42,13.69,2.0,0.842,89.29,0.423,127.76,7,0.504,1,179.0168
1468,Wheat,Loamy,64,149,25.78,58.24,2.4,2.27,23.56,2.36,34.45,18.51,34.45,3.034,0.896,89.32,0.73,170.0,5,0.446,0,0.0
1665,Rice,Silty,88,364,21.23,76.21,0.61,0.43,29.07,3.87,34.75,13.82,28.19,3.279,0.9,88.09,1.11,139.67,7,0.418,0,0.0
1416,Maize,Sandy,29,352,22.08,41.82,1.35,1.33,11.29,2.34,21.81,11.49,17.21,2.0,0.875,76.99,0.703,133.63,7,0.323,1,168.0326
6480,Tomato,Loamy,103,274,27.6,90.78,1.7,0.8,21.16,4.97,32.26,18.19,23.3,2.933,0.63,87.41,0.536,121.88,8,0.588,1,214.7509
4852,Maize,Loamy,29,158,36.62,40.84,5.99,2.46,22.65,3.47,32.61,19.05,29.05,3.553,0.875,71.16,0.929,151.9,7,0.394,0,0.0
2470,Wheat,Silty,104,274,22.64,38.81,0.8,0.68,21.29,4.84,33.74,15.51,30.44,2.991,0.45,69.94,0.715,118.23,10,0.372,0,0.0
4373,Maize,Clayey,23,59,32.92,80.4,4.41,3.25,18.54,1.41,36.01,20.29,28.89,2.272,0.756,71.96,0.826,137.02,5,0.363,1,322.7003
8524,Tomato,Sandy,63,351,17.33,54.0,2.62,2.49,5.31,4.36,21.92,8.58,10.2,2.0,0.988,72.0,0.804,134.66,5,0.525,1,584.6291
429,Wheat,Loamy,65,179,25.88,86.26,1.5,1.19,15.26,3.91,38.2,15.77,30.5,2.0,0.885,89.71,1.039,121.51,9,0.449,0,0.0
5244,Maize,Loamy,68,37,15.21,41.73,0.03,0.02,5.48,4.83,34.41,19.21,32.74,2.0,1.062,69.39,1.094,124.19,7,0.407,0,0.0
2119,Wheat,Silty,76,163,34.88,67.7,8.89,5.83,16.69,2.69,33.66,17.95,31.74,2.192,0.764,73.6,0.97,131.62,2,0.415,0,0.0
385,Wheat,Loamy,41,89,25.01,81.27,5.37,5.01,6.45,3.21,32.03,18.79,29.18,2.0,0.978,71.03,0.396,169.15,6,0.584,0,0.0
1945,Wheat,Sandy,14,34,20.54,54.18,2.53,2.12,11.32,1.49,26.73,8.95,21.22,2.296,0.642,84.52,1.083,172.68,9,0.409,0,0.0
4224,Wheat,Clayey,74,202,21.85,67.72,1.96,1.68,6.05,4.41,41.4,20.05,29.38,2.0,0.786,83.12,0.885,136.83,4,0.378,1,524.133
473,Wheat,Silty,117,321,20.39,58.2,1.46,0.71,5.63,2.83,30.04,12.37,27.61,2.0,0.45,85.2,0.883,121.21,2,0.478,0,0.0
2129,Wheat,Clayey,42,30,20.48,55.13,0.05,0.05,6.25,4.19,44.56,24.26,27.53,2.0,0.986,89.09,1.07,135.01,9,0.384,1,860.3576
6556,Tomato,Loamy,63,140,17.5,80.74,4.5,2.89,25.44,4.33,37.79,17.71,25.06,2.748,0.988,71.55,0.896,164.25,1,0.301,1,652.1354
6998,Maize,Loamy,58,177,36.51,69.07,1.11,0.64,25.62,3.6,32.13,19.87,26.88,2.779,1.133,84.95,1.141,99.23,5,0.43,1,293.9032
1055,Maize,Loamy,50,89,29.98,57.56,5.89,2.8,27.16,1.59,36.41,18.33,28.73,2.683,1.065,73.31,1.015,81.59,10,0.405,0,0.0
3274,Wheat,Sandy,27,72,17.15,30.21,2.4,1.94,29.17,1.56,28.72,14.38,18.82,2.0,0.866,74.56,0.66,93.82,6,0.406,1,367.7704
4961,Maize,Silty,13,68,31.59,68.98,3.48,2.22,17.79,4.53,31.67,12.99,25.82,2.858,0.558,61.25,0.92,98.5,1,0.419,1,39.0599
5363,Rice,Silty,1,112,34.11,82.24,1.74,0.79,23.71,0.73,25.35,17.22,20.23,2.904,0.422,66.78,1.125,130.87,10,0.566,1,321.8878
5816,Rice,Sandy,92,53,23.96,92.96,2.96,2.87,25.47,0.93,25.33,13.42,22.46,2.919,0.864,64.39,0.636,93.47,2,0.399,0,0.0
811,Tomato,Sandy,25,209,20.17,94.27,2.29,2.12,24.1,1.05,28.35,13.4,23.87,2.0,0.825,60.89,0.68,114.7,9,0.354,1,22.5308
4573,Maize,Silty,97,289,31.07,40.52,1.9,1.26,23.81,1.93,31.12,16.0,16.0,2.282,0.743,85.96,0.495,126.97,2,0.435,1,333.6346
6137,Tomato,Silty,8,250,32.88,67.53,0.68,0.46,23.77,4.58,25.63,16.87,20.46,2.535,0.468,61.82,0.632,113.6,4,0.571,1,240.2443
2388,Tomato,Sandy,44,139,26.86,56.52,7.56,6.98,27.81,0.89,27.05,9.25,13.67,2.516,0.967,71.51,0.511,90.41,8,0.519,1,362.3744
9648,Rice,Sandy,72,274,29.42,56.87,0.72,0.69,28.95,1.39,25.29,8.86,12.6,2.52,1.045,83.53,0.938,86.06,10,0.565,1,561.2873
6225,Maize,Clayey,93,124,15.73,36.34,5.11,4.64,23.31,3.49,36.81,23.44,25.38,2.237,0.787,88.78,0.909,171.21,5,0.495,1,470.6633
111,Tomato,Silty,55,96,31.34,74.34,4.58,3.56,16.01,3.81,26.04,15.15,15.16,2.731,1.05,86.29,0.889,171.69,1,0.379,0,0.0
8909,Rice,Loamy,119,357,32.21,60.36,1.21,0.85,28.28,1.61,35.92,18.94,20.78,2.867,0.63,75.05,0.786,142.78,4,0.415,1,547.0727
1745,Rice,Loamy,23,13,37.75,57.98,0.98,0.74,6.48,3.27,30.51,17.31,19.94,2.638,0.915,86.84,0.961,90.19,10,0.523,1,502.8656
7851,Maize,Clayey,115,230,16.19,66.11,5.82,4.78,23.8,3.33,35.62,23.08,30.74,2.0,0.54,76.5,0.362,160.63,4,0.312,1,101.4928
1452,Wheat,Silty,76,26,22.12,32.41,7.41,4.98,29.5,0.68,27.99,14.1,18.87,2.854,0.764,85.69,1.056,96.63,10,0.533,1,433.9431
319,Rice,Silty,73,203,37.93,55.88,2.34,1.33,16.42,0.77,27.53,17.07,23.61,2.0,1.036,79.21,0.318,120.08,10,0.535,0,0.0
8593,Tomato,Clayey,80,79,33.05,48.23,3.56,2.16,16.19,2.39,35.69,21.85,32.2,2.237,0.856,89.28,0.571,100.78,10,0.369,0,0.0
3333,Wheat,Silty,15,162,24.57,47.85,7.54,7.36,12.14,4.95,30.66,16.05,21.73,2.0,0.67,86.05,0.869,95.9,4,0.55,1,310.2112
1922,Wheat,Clayey,85,335,17.17,42.05,3.73,1.7,22.74,1.98,44.34,18.25,41.62,2.0,0.665,61.72,1.17,86.49,10,0.445,0,0.0
5865,Tomato,Silty,13,250,18.55,62.36,1.4,1.05,27.06,1.86,26.4,15.04,19.4,2.316,0.573,75.05,0.566,110.44,2,0.452,1,222.0291
9528,Maize,Clayey,92,361,24.27,37.94,5.84,5.25,13.17,4.53,35.67,24.49,25.1,2.708,0.798,85.0,0.801,106.19,6,0.552,1,460.1631
3685,Rice,Clayey,29,157,35.41,44.37,0.2,0.13,27.77,4.4,42.87,20.07,21.78,2.591,0.992,84.72,0.351,164.54,2,0.336,1,346.8187
4275,Tomato,Sandy,10,318,20.13,32.35,4.91,2.67,20.1,3.62,20.63,13.65,20.63,2.205,0.51,62.35,0.545,171.54,5,0.6,0,0.0
4889,Tomato,Silty,82,344,15.31,85.0,10.28,9.47,19.12,1.04,31.41,16.03,19.42,2.0,0.84,63.15,0.553,174.75,10,0.411,1,451.6706
5225,Wheat,Silty,54,180,28.11,87.51,2.32,1.57,13.3,0.97,32.69,16.07,32.69,2.545,1.006,63.52,0.427,89.96,5,0.363,1,4.1691
7472,Rice,Silty,63,293,22.5,51.21,0.62,0.61,24.52,1.27,34.02,16.83,22.51,2.451,1.127,82.28,1.042,92.01,3,0.522,1,628.5393
3605,Tomato,Silty,108,184,16.53,57.2,2.39,1.32,22.22,4.92,26.66,13.35,19.82,2.058,0.63,83.81,0.852,153.1,4,0.392,1,264.4021
1052,Tomato,Clayey,92,255,18.07,54.36,6.42,4.9,19.29,2.45,39.45,24.48,26.31,2.0,0.762,87.13,0.322,139.74,5,0.505,1,212.5853
4156,Rice,Loamy,119,151,32.18,40.33,0.29,0.13,20.88,4.14,39.95,18.36,24.96,2.409,0.63,76.96,0.781,135.25,6,0.59,1,626.9392
9676,Tomato,Clayey,48,290,19.51,92.0,4.44,2.06,19.28,1.22,42.84,23.32,32.31,2.0,0.997,76.72,0.617,96.14,3,0.564,0,0.0
99,Maize,Silty,24,176,15.85,91.01,1.81,1.49,14.97,1.2,27.09,12.35,14.27,2.0,0.776,75.44,1.178,126.51,3,0.31,1,894.8089
7508,Maize,Sandy,38,188,25.7,75.04,0.65,0.52,8.09,1.46,20.54,9.07,15.83,3.142,0.963,78.75,1.163,159.25,2,0.374,0,0.0
1456,Rice,Silty,6,36,35.7,46.91,8.05,5.98,8.97,1.12,31.34,15.23,19.77,3.12,0.534,72.97,1.171,102.71,3,0.342,1,638.6796
7688,Rice,Silty,92,77,23.48,91.3,8.83,4.3,11.39,3.44,26.08,17.83,19.36,2.0,0.864,70.73,0.41,164.57,7,0.34,1,165.7531
4004,Wheat,Loamy,88,281,37.18,62.71,6.11,5.21,10.48,4.16,36.37,18.15,24.32,3.19,0.632,69.94,0.613,133.18,10,0.304,0,0.0
6866,Tomato,Silty,48,135,23.59,66.71,0.27,0.23,21.8,2.45,28.28,13.53,20.95,2.0,0.997,80.07,0.742,170.58,1,0.363,1,300.0491
4509,Wheat,Sandy,74,315,29.49,35.75,0.16,0.12,28.16,1.59,28.87,13.48,15.69,2.652,0.786,79.57,1.086,123.13,10,0.539,1,781.891
3299,Maize,Clayey,117,91,21.61,69.54,1.05,0.91,29.34,1.44,35.63,21.93,27.91,2.0,0.54,76.07,0.895,167.15,3,0.503,1,399.5623
3799,Maize,Loamy,23,33,16.31,75.18,0.85,0.56,13.84,3.96,34.89,18.31,29.0,2.0,0.756,61.63,0.657,103.31,1,0.46,1,26.6224
4281,Rice,Sandy,22,365,25.93,56.33,1.04,0.72,6.46,4.15,22.34,8.64,11.8,2.601,0.893,76.73,0.451,131.43,2,0.569,1,230.8232
9051,Maize,Loamy,34,356,19.95,79.43,0.03,0.03,29.92,3.56,38.62,18.51,36.3,2.0,0.929,65.15,0.328,153.19,2,0.382,0,0.0
6462,Wheat,Loamy,91,331,36.06,52.92,0.22,0.16,26.98,2.96,31.76,15.08,15.32,4.018,0.599,63.0,1.02,85.19,1,0.478,1,959.8944
7912,Wheat,Clayey,114,229,24.26,50.23,2.15,1.06,21.94,4.1,37.63,20.07,27.73,2.0,0.45,69.7,1.086,113.56,6,0.528,1,659.5583
1414,Rice,Loamy,74,314,32.76,42.75,1.16,1.01,25.37,1.22,36.21,15.36,32.59,2.519,1.027,89.82,1.154,157.34,8,0.481,0,0.0
540,Tomato,Clayey,6,274,22.37,39.86,0.09,0.06,15.48,4.32,37.96,20.82,37.96,2.216,0.426,78.96,0.749,140.65,5,0.516,0,0.0
5815,Tomato,Sandy,23,133,34.6,72.98,3.92,2.42,29.15,1.66,26.41,11.89,20.75,3.902,0.783,68.07,1.016,87.46,5,0.363,1,393.161
8199,Tomato,Clayey,36,105,37.26,56.27,0.56,0.32,8.73,1.62,36.91,22.1,31.64,2.0,0.908,83.21,0.303,125.06,9,0.438,0,0.0
3680,Maize,Loamy,68,359,34.72,63.99,0.69,0.42,23.96,3.5,38.71,16.48,29.02,3.082,1.062,80.39,0.75,120.3,3,0.357,1,377.7056
754,Rice,Sandy,120,251,24.09,77.58,0.35,0.28,15.86,3.8,28.34,13.46,17.36,2.362,0.63,77.61,0.411,140.42,3,0.327,1,247.8969
4196,Tomato,Clayey,8,95,31.94,46.81,1.8,1.23,14.15,4.36,43.68,19.13,39.4,2.634,0.468,66.17,0.899,168.39,4,0.402,0,0.0
2650,Wheat,Clayey,84,229,33.3,82.42,0.54,0.49,17.32,4.29,37.51,21.43,24.45,2.189,0.676,77.28,0.794,129.3,1,0.578,1,515.7918
4522,Maize,Clayey,48,288,22.77,48.32,1.9,1.33,29.16,4.54,40.09,20.03,33.52,3.124,1.048,74.68,0.462,80.67,4,0.366,0,0.0
9519,Tomato,Loamy,1,245,36.5,61.76,1.44,0.88,18.04,3.31,32.22,16.05,26.13,3.176,0.321,77.78,1.088,90.3,6,0.558,0,0.0
3118,Wheat,Loamy,81,210,37.12,94.8,4.74,3.43,18.28,1.45,35.21,15.96,20.22,3.376,0.709,82.69,0.341,173.03,4,0.491,1,231.7504
3728,Tomato,Loamy,73,355,24.48,71.87,1.28,0.73,13.2,3.0,36.2,15.78,22.63,2.29,0.91,62.69,0.995,115.14,8,0.468,1,980.3642
3886,Rice,Silty,99,158,16.59,78.91,8.05,6.81,21.91,4.91,30.46,15.43,23.79,2.191,0.8,62.54,1.142,139.62,6,0.54,0,0.0
7107,Wheat,Sandy,32,73,31.76,44.98,4.19,2.17,6.92,1.97,21.28,10.07,18.52,2.464,0.906,61.86,1.129,133.83,10,0.473,0,0.0
8068,Rice,Silty,1,360,21.64,37.69,1.25,1.03,23.57,1.88,28.87,16.91,24.17,2.868,0.422,61.66,1.111,105.35,5,0.477,0,0.0
7325,Wheat,Loamy,98,310,18.38,61.89,0.73,0.3,18.13,3.66,36.77,19.78,35.73,3.244,0.522,60.89,0.532,105.91,8,0.368,1,5.3758
8483,Wheat,Clayey,102,251,22.27,85.1,0.48,0.38,16.62,1.6,39.82,18.67,34.3,2.0,0.45,86.98,0.522,81.29,1,0.595,0,0.0
8767,Tomato,Sandy,99,354,15.69,75.35,3.61,2.24,26.67,1.98,21.75,8.13,11.63,2.164,0.708,84.38,0.608,137.37,9,0.33,1,308.6586
6500,Wheat,Silty,119,306,33.08,31.42,2.27,1.42,6.69,4.63,25.29,17.28,23.54,2.0,0.45,66.61,0.539,121.79,7,0.422,0,0.0
8426,Rice,Sandy,111,59,31.45,42.41,0.29,0.23,14.29,3.6,27.88,10.82,27.55,2.0,0.63,72.5,0.364,173.61,7,0.388,0,0.0
7963,Tomato,Silty,9,5,27.01,80.19,0.13,0.13,12.92,1.46,25.3,15.59,21.55,2.097,0.489,73.54,0.759,140.14,5,0.599,0,0.0
601,Wheat,Clayey,77,95,33.32,69.48,0.07,0.04,8.63,0.79,43.13,20.96,23.66,2.404,0.753,73.72,0.95,158.89,4,0.422,1,1056.8503
9249,Rice,Silty,61,102,35.72,82.65,0.84,0.81,14.74,1.82,26.34,15.28,21.65,3.33,1.145,65.35,0.635,93.7,1,0.328,1,192.7725
8919,Rice,Clayey,21,314,33.32,75.16,5.45,4.73,18.42,4.02,35.16,21.46,21.67,3.564,0.87,74.92,0.467,89.62,1,0.466,1,370.9077
6814,Maize,Loamy,26,197,21.76,48.89,3.28,1.59,27.61,2.84,33.24,17.79,23.81,2.79,0.816,73.58,0.759,135.59,6,0.331,1,397.4345
5411,Maize,Sandy,27,229,33.93,85.95,3.11,2.07,7.55,2.68,23.72,10.58,14.18,2.557,0.835,89.99,0.705,129.48,10,0.496,0,0.0
8747,Rice,Silty,73,204,37.09,54.29,2.28,2.27,28.05,4.86,34.86,13.58,25.4,3.246,1.036,72.76,1.078,124.17,2,0.309,1,575.1288
5522,Maize,Silty,91,218,17.45,89.95,0.22,0.21,20.35,2.29,25.53,15.32,22.64,2.686,0.809,81.09,1.168,87.61,3,0.446,0,0.0
1044,Rice,Silty,39,274,17.47,67.71,3.33,1.52,15.31,1.71,31.97,12.08,31.76,2.0,1.072,71.99,1.159,175.27,3,0.6,0,0.0
7334,Maize,Sandy,18,336,28.83,64.01,1.61,0.87,27.69,3.28,24.29,13.41,17.57,2.257,0.657,70.56,0.358,90.18,3,0.383,0,0.0
1557,Tomato,Sandy,45,184,37.4,85.56,2.22,1.52,13.71,1.52,29.93,9.61,14.34,2.579,0.975,70.76,0.509,145.22,4,0.53,1,498.1244
3739,Wheat,Loamy,28,362,24.49,78.51,6.02,4.4,25.09,1.21,37.59,18.15,25.17,2.792,0.874,69.42,1.08,131.48,1,0.391,0,0.0
3522,Wheat,Sandy,49,104,33.93,30.46,3.54,1.79,10.79,1.75,27.7,9.84,15.46,2.046,1.042,74.41,0.449,134.89,2,0.507,1,325.651
180,Maize,Clayey,17,84,27.72,93.12,0.9,0.84,11.36,4.29,36.23,19.07,35.44,2.016,0.637,78.95,1.139,140.07,8,0.568,0,0.0
2115,Rice,Clayey,117,70,30.93,37.6,0.66,0.38,17.73,4.64,43.55,23.37,29.98,2.584,0.63,85.74,0.54,146.71,9,0.313,1,376.7466
1699,Wheat,Clayey,87,187,24.09,87.54,3.32,1.69,13.56,4.47,35.77,23.17,35.28,2.0,0.643,84.72,1.119,137.76,2,0.459,0,0.0
1379,Rice,Sandy,23,314,20.42,75.54,3.35,1.69,27.84,3.79,21.47,14.31,15.7,2.0,0.915,82.77,0.611,112.87,5,0.411,1,185.1201
7229,Wheat,Clayey,17,279,31.17,42.36,0.34,0.32,16.41,3.93,37.71,21.75,30.18,2.356,0.726,80.85,0.384,165.47,6,0.499,1,161.46
9143,Maize,Sandy,48,296,28.33,34.04,3.55,3.37,14.29,1.97,29.61,12.81,19.05,2.125,1.048,60.28,1.113,95.28,8,0.388,1,744.9146
618,Tomato,Loamy,21,276,21.47,90.56,0.87,0.61,22.24,3.71,31.49,15.09,24.91,2.546,0.741,85.64,0.44,154.69,8,0.459,0,0.0
3181,Tomato,Clayey,16,169,26.56,90.97,0.49,0.29,14.43,2.89,36.28,20.27,25.81,2.269,0.636,87.01,0.316,129.31,4,0.408,1,162.3596
9851,Tomato,Silty,69,88,19.61,74.82,1.09,1.05,5.21,3.83,29.61,14.05,14.63,2.0,0.941,80.77,0.989,97.38,6,0.475,1,676.4788
1600,Wheat,Clayey,50,345,19.47,62.66,3.55,1.99,15.68,3.49,44.19,20.87,28.78,2.0,1.05,62.78,0.967,167.49,2,0.396,1,1104.6478
5963,Wheat,Sandy,106,283,35.82,57.34,1.16,0.88,7.2,2.93,27.88,11.03,18.81,2.381,0.45,88.59,1.175,159.12,6,0.503,1,424.6895
1615,Tomato,Sandy,36,335,29.62,80.99,2.77,1.17,21.46,2.79,27.96,11.76,16.88,2.322,0.908,76.2,0.532,106.66,9,0.365,1,317.4226
5920,Maize,Sandy,52,250,34.15,62.39,1.52,1.33,19.63,2.29,28.83,8.98,14.57,2.489,1.082,83.01,0.696,176.67,5,0.396,1,498.9839
9591,Tomato,Silty,64,144,18.52,77.04,3.82,2.56,9.4,4.33,31.46,17.88,25.78,2.356,0.98,62.64,0.745,135.72,3,0.306,1,296.689
3891,Tomato,Silty,18,360,24.19,86.73,1.38,1.14,27.12,1.98,30.37,16.93,24.32,2.13,0.678,83.11,0.327,130.81,2,0.579,0,0.0
2083,Rice,Sandy,114,295,16.88,81.48,4.28,2.86,18.06,2.94,24.06,10.46,20.3,2.0,0.63,69.73,0.756,82.13,2,0.405,0,0.0
4574,Maize,Silty,87,248,25.41,46.47,1.21,1.15,5.03,1.79,30.22,14.61,17.81,2.0,0.853,79.5,1.009,103.51,4,0.306,1,541.7924
5594,Rice,Sandy,3,81,22.22,59.83,8.05,3.97,7.2,2.11,20.69,14.14,14.74,2.0,0.467,65.82,0.883,123.63,8,0.578,1,354.8777
5121,Wheat,Clayey,76,247,24.0,46.96,0.58,0.34,11.2,4.72,40.02,19.48,24.26,2.687,0.764,84.78,0.527,88.04,1,0.489,1,369.9315
4587,Maize,Loamy,112,222,19.8,87.34,2.06,0.84,5.57,2.95,35.43,16.96,22.85,2.0,0.54,81.94,0.61,92.01,5,0.483,0,0.0
4902,Wheat,Loamy,3,351,16.9,87.9,6.69,3.42,20.18,1.66,39.38,18.64,25.9,2.28,0.334,87.34,0.398,104.35,8,0.43,1,262.6613
8252,Wheat,Clayey,32,187,35.26,83.96,0.2,0.09,16.77,4.39,36.46,19.77,25.37,3.002,0.906,67.71,0.918,82.72,3,0.386,0,0.0
5916,Maize,Clayey,71,259,30.74,84.96,0.26,0.14,25.21,2.46,41.22,23.67,40.22,2.108,1.029,62.67,0.883,176.41,6,0.385,0,0.0
5129,Wheat,Loamy,105,300,36.23,78.5,3.84,2.49,18.95,4.36,31.33,17.38,26.94,2.607,0.45,81.49,0.928,89.84,3,0.519,0,0.0
8334,Tomato,Sandy,78,85,36.87,62.77,0.9,0.43,8.42,4.29,26.99,11.55,22.92,2.048,0.871,62.24,0.834,142.22,8,0.357,0,0.0
1918,Tomato,Loamy,4,272,35.11,32.38,0.14,0.09,8.41,3.68,37.12,15.48,21.62,2.604,0.384,69.01,0.367,130.12,7,0.491,1,354.289
8330,Wheat,Loamy,39,13,27.13,45.91,2.53,2.52,13.25,2.96,30.94,19.04,27.03,2.771,0.962,64.41,0.383,104.99,7,0.54,0,0.0
5707,Wheat,Sandy,87,312,19.8,86.04,8.89,6.04,22.63,0.77,25.04,12.81,25.04,2.357,0.643,66.0,0.687,174.34,3,0.387,0,0.0
5384,Wheat,Sandy,43,31,15.03,83.98,3.39,1.44,25.3,1.28,28.97,10.34,28.03,2.16,0.994,61.82,0.502,80.77,7,0.596,0,0.0
6336,Tomato,Sandy,45,304,17.84,76.75,0.14,0.07,14.15,0.97,29.46,14.22,25.37,2.0,0.975,73.38,0.702,115.63,3,0.41,0,0.0
2054,Tomato,Loamy,67,246,16.08,60.94,0.7,0.58,7.78,1.23,38.44,16.01,21.81,2.0,0.957,82.42,0.65,89.16,5,0.51,1,486.2003
7612,Maize,Clayey,37,167,32.2,79.69,0.77,0.64,14.33,4.76,42.27,22.3,25.17,2.467,0.954,68.69,1.001,91.72,6,0.313,1,1159.7188
9209,Wheat,Loamy,93,189,37.19,81.22,0.66,0.3,26.35,3.18,33.1,17.21,22.72,3.382,0.577,88.03,0.938,178.27,7,0.452,1,391.4746
3963,Maize,Loamy,14,357,35.88,50.36,3.72,2.67,26.51,4.09,37.81,15.45,30.64,3.969,0.578,85.12,0.818,132.72,2,0.472,0,0.0
1126,Wheat,Silty,30,246,16.02,50.61,1.94,1.57,8.82,2.36,31.9,12.42,25.8,2.0,0.89,83.78,0.52,143.19,5,0.432,1,25.4291
3428,Rice,Sandy,91,195,22.74,65.46,2.32,2.15,5.24,4.19,27.32,11.31,14.74,2.0,0.873,60.33,0.627,83.8,9,0.328,1,533.1464
4601,Maize,Loamy,13,10,34.45,46.6,0.46,0.43,15.58,2.12,36.09,19.89,24.16,2.702,0.558,89.8,1.154,94.8,1,0.345,0,0.0
3721,Tomato,Silty,66,344,18.06,62.66,1.59,1.11,7.71,4.17,25.01,17.55,17.55,2.0,0.964,75.34,0.496,88.06,6,0.351,1,186.7852
2389,Rice,Clayey,71,78,18.47,54.87,0.92,0.65,9.19,3.6,43.8,19.63,37.69,2.24,1.055,72.53,0.779,151.49,2,0.541,0,0.0
1322,Maize,Clayey,1,3,18.35,40.36,0.02,0.01,27.7,1.16,39.31,24.55,32.34,2.0,0.32,62.63,0.408,132.84,4,0.392,1,161.6449
1603,Maize,Clayey,14,31,29.11,91.82,0.8,0.55,28.82,1.43,38.29,19.19,25.34,2.615,0.578,70.45,0.471,92.55,6,0.592,1,357.6039
7224,Rice,Loamy,3,4,29.76,92.3,4.27,2.33,29.58,2.45,39.53,19.63,29.42,2.853,0.467,67.85,0.654,100.89,1,0.583,0,0.0
7425,Wheat,Silty,50,351,19.2,61.37,9.98,9.31,5.73,0.9,27.37,16.16,27.37,2.0,1.05,61.67,1.03,122.86,2,0.328,0,0.0
4336,Wheat,Silty,19,253,36.11,75.07,1.27,1.15,22.98,2.14,25.85,12.75,25.24,2.771,0.782,88.25,0.783,143.08,5,0.581,0,0.0
5593,Rice,Clayey,63,20,24.03,71.35,14.3,7.2,18.86,0.88,41.07,24.25,38.37,2.149,1.127,69.88,0.941,138.75,2,0.459,0,0.0
4411,Rice,Loamy,19,140,20.8,87.28,0.59,0.46,8.81,2.48,31.21,18.33,21.55,2.0,0.826,74.5,0.627,83.32,8,0.521,1,341.5622
